Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.218,2.3382880674834623,1.0330166457887615,2.5771458894473205,133.97403755260382,59.18749397045674,147.6595826548201,-14.068,-60.727,12.2,-16.705,113.719,20.1
0.218,2.338355421978134,1.0337238763102885,2.5767835072606076,133.97789668087975,59.22801529448307,147.63881968495073,-14.052,-60.688,12.2,-16.688,113.719,20.1
0.218,2.3392688331142337,1.0339293109622898,2.577328415981713,134.0302312839385,59.23978583300848,147.67004065488996,-14.03,-60.688,12.2,-16.672,113.719,20.1
0.218,2.340090356454175,1.0340781836728579,2.577782963948614,134.07730110408863,59.24831561100871,147.69608433497962,-14.013,-60.694,12.2,-16.655,113.714,20.1
0.217,2.3410045465711056,1.0342832938773103,2.5783286570083543,134.12968033946132,59.2600675600589,147.72735024421232,-13.991,-60.694,12.2,-16.639,113.714,20.1
0.215,2.3413512144572017,1.03503247176632,2.5781363627023763,134.14954294622734,59.30299229120367,147.71633259205538,-13.969,-60.656,12.2,-16.617,113.714,20.1
0.214,2.342111644933185,1.035272980632116,2.578434000373478,134.19311240311433,59.31677243414926,147.73338597443362,-13.953,-60.656,12.2,-16.595,113.708,20.1
0.213,2.343220648175034,1.0354062325204376,2.5790785786907486,134.2566536083386,59.32440720496224,147.77031759157887,-13.931,-60.661,12.2,-16.573,113.708,20.1
0.212,2.3440967160731256,1.035564417026241,2.5795018349355106,134.30684860146613,59.33347050952914,147.7945683880563,-13.914,-60.661,12.2,-16.551,113.708,20.1
0.211,2.344111808942659,1.036334173233806,2.5790784908273756,134.30771335919115,59.37757429147661,147.77031255737842,-13.898,-60.623,12.2,-16.534,113.703,20.1
0.21,2.3448839285638354,1.0364923576491374,2.5795026437445396,134.35195255476378,59.38663759085984,147.79461472940008,-13.881,-60.623,12.2,-16.518,113.703,20.1
0.208,2.3458552373609485,1.0365596301438034,2.580032541446252,134.4076044494423,59.39049202088152,147.8249756312819,-13.865,-60.634,12.2,-16.496,113.698,20.1
