Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(rad),W_Debug_Pitch(rad),W_Debug_Yaw(rad),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(rad),H_Debug_Pitch(rad),H_Debug_Yaw(rad),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
0.229,0.28299967056630104,-0.343123551,1.9500693508178837,16.214686727041716,-19.65953135,111.73074355968104,-0.461,-14.31,-60.892,-2.73,-16.848,113.725,-0.160431587,-0.322250629,-1.970864406,-9.192052824,-18.46360101,-112.9222125,0.041956662,-0.072106017,0.003453322,2.403939673324602,-4.131370435,0.19786076391707755
0.234,0.2835953153947347,-0.3433762,1.9499409458538737,16.24881466179976,-19.67400704,111.72338649717474,-0.461,-14.321,-60.892,-2.708,-16.859,113.725,-0.160441321,-0.322440391,-1.97083368,-9.192610533,-18.47447353,-112.920452,0.042341877328774896,-0.072297233,0.003436097,2.4260108675994654,-4.142326305,0.19687385857666104
0.239,0.2838242379886107,-0.34349328,1.9500424450601517,16.261930960264042,-19.68071521,111.7292019733184,-0.467,-14.321,-60.897,-2.692,-16.859,113.725,-0.160539703,-0.322453226,-1.970921796,-9.198247439,-18.47520896,-112.9255006,0.04262113,-0.072297233,0.003436097,2.442010867599463,-4.142326305,0.19687385857666123
0.239,0.28370225519500103,-0.343384435,1.9500646717676107,16.25494186101699,-19.67447885,111.73047546984827,-0.472,-14.31,-60.892,-2.686,-16.853,113.725,-0.160623573,-0.322250629,-1.970864406,-9.203052824,-18.46360101,-112.9222125,0.042725171584801956,-0.072192933,0.003445492,2.447972010781423,-4.136350377,0.19741217396444696
0.233,0.2832770483414172,-0.342886837,1.949483862324357,16.230579302886603,-19.64596864,111.6971975400485,-0.472,-14.288,-60.848,-2.692,-16.842,113.725,-0.160659841,-0.321758134,-1.970150476,-9.20513081,-18.43538311,-112.8813073,0.042619211,-0.072001717,0.003462717,2.441900920244438,-4.125394506,0.19839906442588398
0.225,0.2827701666793302,-0.342595506,1.9496458561790333,16.20153712293644,-19.62927655,111.7064791042285,-0.472,-14.271,-60.848,-2.703,-16.831,113.725,-0.160644832,-0.321464868,-1.970197958,-9.204270867,-18.41858019,-112.8840278,0.042425987403286056,-0.071810501,0.003479941,2.430830019883486,-4.114438634,0.19938592766584742
0.217,0.2822308331066964,-0.342286535,1.9498796376543668,16.170635585474813,-19.61157386,111.71987379609345,-0.478,-14.249,-60.848,-2.708,-16.815,113.725,-0.160730152,-0.321085346,-1.970259392,-9.209159373,-18.39683517,-112.8875477,0.042336927,-0.071532369,0.003504993,2.425727231546763,-4.098502818,0.20082131666277955
0.212,0.2819744982003838,-0.341904229,1.950021811555431,16.155948677201216,-19.58966931,111.72801976058135,-0.472,-14.233,-60.848,-2.708,-16.804,113.725,-0.160611341,-0.320809329,-1.970304061,-9.202351986,-18.38102057,-112.890107,0.042335697647198176,-0.071341152,0.003522216,2.4256567979263846,-4.087546943,0.20180811339710944
0.21,0.281784255,-0.341441246,1.9493706410758125,16.145048538317486,-19.56314234,111.69071044035569,-0.467,-14.216,-60.804,-2.708,-16.798,113.725,-0.16056474,-0.320403058,-1.969576243,-9.199681919,-18.35774298,-112.8484062,0.042335028519385476,-0.071236853,0.00353161,2.425618459726762,-4.081571011,0.20234635478980256
0.21,0.2815763679762713,-0.341156209,1.949397568141442,16.133137495662975,-19.54681095,111.69225324757093,-0.467,-14.205,-60.804,-2.708,-16.787,113.719,-0.160555071,-0.320213297,-1.969606952,-9.199127921,-18.34687049,-112.8501657,0.042310665535204316,-0.071036667,0.003448725,2.424222563556838,-4.070101214,0.19759736732346672
0.211,0.28124773103647505,-0.341071084,1.9496163650894967,16.114307986020556,-19.54193364,111.7047893892648,-0.472,-14.189,-60.809,-2.708,-16.782,113.719,-0.160621969,-0.319950124,-1.969739708,-9.20296092,-18.33179176,-112.857772,0.04231011,-0.07094975,0.003456551,2.4241907569105896,-4.06512126,0.19804576767416102
0.212,0.2809374156638108,-0.340831077,1.9497568346728968,16.096528224848864,-19.52818225,111.7128377035436,-0.472,-14.178,-60.804,-2.714,-16.771,113.725,-0.160618632,-0.31974752,-1.969682313,-9.202769747,-18.3201834,-112.8544835,0.04222731,-0.070767504,0.003573882,2.419446637800856,-4.054679312,0.20476834208319453
0.213,0.28065062003506214,-0.340388356,1.9491929279877067,16.080096045738763,-19.50281622,111.68052823044299,-0.467,-14.161,-60.765,-2.719,-16.765,113.725,-0.160565684,-0.319354064,-1.969042654,-9.199736055,-18.29764002,-112.8178337,0.042139379745001426,-0.070663204,0.003583275,2.414408610687649,-4.048703378,0.20530653955840555
0.214,0.2803557380283954,-0.340215242,1.9491967217003623,16.063200551302412,-19.4928975,111.68074559416684,-0.467,-14.15,-60.76,-2.725,-16.76,113.725,-0.160562355,-0.319151456,-1.968985266,-9.199545263,-18.28603147,-112.8145457,0.042034108,-0.070576288,0.003591103,2.4083769646280064,-4.043723432,0.20575503138375925
0.215,0.2800629236358817,-0.340000197,1.9493089571585553,16.04642352243069,-19.48057634,111.68717621223303,-0.467,-14.134,-60.765,-2.725,-16.754,113.719,-0.160542046,-0.318888287,-1.969117998,-9.198381695,-18.27095297,-112.8221507,0.042010308364470214,-0.070463017,0.003500375,2.4070133653272836,-4.037233509,0.20055670746144671
0.216,0.27965649400760595,-0.33977971,1.9495366873211029,16.023136820061417,-19.46794337,111.70022418941483,-0.467,-14.123,-60.765,-2.736,-16.743,113.725,-0.160532428,-0.318698525,-1.969148688,-9.197830585,-18.26008045,-112.823909,0.041840249,-0.070280772,0.003617716,2.3972696617777562,-4.026791616,0.2072798624056025
0.217,0.27941290050429335,-0.339105857,1.948800234556901,16.00917994,-19.42933444,111.65802855421532,-0.456,-14.106,-60.721,-2.741,-16.732,113.719,-0.160381035,-0.318292194,-1.968421006,-9.189156412,-18.23679939,-112.782216,0.041728638,-0.070080584,0.003534806,2.3908748499812993,-4.015321699,0.20252946763889762
0.217,0.27909724003158387,-0.338853189,1.9489270322970411,15.991093927559442,-19.4148576,111.66529352957714,-0.456,-14.095,-60.721,-2.747,-16.721,113.719,-0.160371434,-0.318102434,-1.968451696,-9.188606295,-18.22592691,-112.7839743,0.041622714580010205,-0.069889368,0.003552021,2.3848058773122216,-4.004365792,0.20351580797286686
0.218,0.2786094603678626,-0.33869081,1.9491511067895997,15.963146211495904,-19.405554,111.67813205229729,-0.456,-14.079,-60.727,-2.758,-16.716,113.719,-0.160349925,-0.317841838,-1.968602018,-9.18737393,-18.21099585,-112.7925872,0.041430182,-0.069802451,0.003559846,2.3737745889049555,-3.999385834,0.2039641357547704
0.218,0.27835238900957326,-0.338340739,1.949264087756573,15.94841710763223,-19.38549641,111.68460538487015,-0.45,-14.068,-60.727,-2.763,-16.705,113.719,-0.16023562,-0.317652076,-1.968632697,-9.180824758,-18.20012332,-112.794345,0.041341717,-0.069611234,0.00357706,2.368705892574555,-3.988429926,0.20495043770481183
0.218,0.27799679717713965,-0.337626392,1.948745680983854,15.92804319640446,-19.34456734,111.65490286472236,-0.439,-14.052,-60.688,-2.774,-16.688,113.719,-0.160078782,-0.317275822,-1.967990359,-9.171838619,-18.17856554,-112.7575417,0.041147884175840053,-0.069315717,0.003603663,2.357600099168781,-3.971498065,0.20647467083398663
0.218,0.27739524333113585,-0.33722014,1.948962770338711,15.89357669987858,-19.32129079,111.66734116853289,-0.439,-14.03,-60.688,-2.785,-16.672,113.719,-0.160059653,-0.3168963,-1.968051712,-9.170742571,-18.15682056,-112.7610569,0.040954167,-0.069037584,0.0036287,2.3465009433372175,-3.955562194,0.20790918605278882
0.218,0.2768698536841392,-0.336826,1.949178953976398,15.863474090505802,-19.29870824,111.67972757857213,-0.439,-14.013,-60.694,-2.796,-16.655,113.714,-0.160037343,-0.316618455,-1.968204789,-9.16946434,-18.14090121,-112.7698276,0.040741071694599215,-0.06873459,0.003571833,2.334291460940436,-3.938201934,0.2046509590024925
0.217,0.2762155236007987,-0.33633844,1.949384187812385,15.82598373832195,-19.2707731,111.69148661118747,-0.434,-13.991,-60.694,-2.812,-16.639,113.714,-0.159930995,-0.316238931,-1.968266111,-9.163371019,-18.11915608,-112.7733411,0.040460103438838914,-0.068456456,0.003596863,2.318193165708218,-3.92226603,0.20608505199107258
0.215,0.27560648821539346,-0.335588331,1.9489565042706956,15.791088581164106,-19.22779502,111.66698214928145,-0.428,-13.969,-60.656,-2.829,-16.617,113.714,-0.159854981,-0.315761724,-1.967658166,-9.159015736,-18.09181411,-112.7385084,0.04016105,-0.068074022,0.003631277,2.301058666,-3.900354158,0.2080568405898007
0.214,0.27513432218491574,-0.335008198,1.9490626921137748,15.764035460388286,-19.19455587,111.6730662645255,-0.423,-13.953,-60.656,-2.84,-16.595,113.708,-0.159753873,-0.315485707,-1.967702756,-9.153222694,-18.0759995,-112.7410632,0.039943597,-0.067682615,0.003565504,2.2885995375107626,-3.877928207,0.20428832289112991
0.213,0.2745131464440609,-0.33452171,1.9494011830098927,15.72844471210139,-19.16668212,111.69246036427666,-0.423,-13.931,-60.661,-2.851,-16.573,113.708,-0.159728584,-0.315119037,-1.967852108,-9.151773748,-18.05499084,-112.7496205,0.039749291,-0.06730018,0.003599906,2.277466607918683,-3.85601628,0.2062593972123699
0.212,0.2740278553410177,-0.333950735,1.9496107464516759,15.700639580061768,-19.13396771,111.70446746503106,-0.417,-13.914,-60.661,-2.862,-16.551,113.708,-0.159609195,-0.314825767,-1.967899463,-9.144933217,-18.03818772,-112.7523337,0.039554998,-0.066917745,0.003634306,2.2663344372426324,-3.834104349,0.2082303699198757
0.211,0.2736322148797804,-0.33331216,1.9490377976345599,15.677971051428262,-19.09738004,111.67163991593331,-0.412,-13.898,-60.623,-2.873,-16.534,113.703,-0.159555837,-0.314452048,-1.967274849,-9.141876041,-18.0167752,-112.716546,0.039341963,-0.066614749,0.003577378,2.254128416563567,-3.816743999,0.20496863916510155
0.21,0.2731586829381707,-0.3328405,1.9492116572842038,15.65083966970939,-19.07035588,111.68160134008552,-0.406,-13.881,-60.623,-2.884,-16.518,113.703,-0.159436478,-0.314158779,-1.967322199,-9.135037307,-17.99997213,-112.7192589,0.039148315,-0.066336614,0.003602388,2.2430332266481146,-3.800808016,0.2064016452770633
0.208,0.27263334668637884,-0.332388915,1.949537132051243,15.620740119656496,-19.04448201,111.70024967057488,-0.406,-13.865,-60.634,-2.895,-16.496,113.698,-0.159408914,-0.313911044,-1.967560454,-9.133457999,-17.98577796,-112.73291,0.038934781,-0.065946701,0.003553255,2.230798626,-3.778467663,0.20358651764334848
