No,Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
49,-0.156,-0.15484209941271243,0.08483781576463523,-0.07426732940756084,-8.871798787293546,4.860848786422039,-4.255204530761061,1.302,7.317,56.08,1.187,-4.834,110.786,16.64415656571656,0.6714294799552412,1.7415383247631053,7.78371063890839,6.5458932745525225,-0.9448687177697059
50,-0.156,-0.1552228647820668,0.08388583904401181,-0.07381191767884943,-8.89361503594229,4.806304538135613,-4.22911136076514,1.291,7.251,56.074,1.115,-4.922,110.797,16.578202726981218,0.6615470942628825,1.73383585435136,7.694919684366187,6.473229682526398,-0.9498964856299915
51,-0.156,-0.15552171527282604,0.08293457218485689,-0.07347328884923315,-8.910737907768208,4.751800961915371,-4.2097093580066725,1.28,7.191,56.069,1.044,-4.999,110.803,16.518237946098573,0.6515026863945852,1.7271199620183242,7.616717324985531,6.402633711745914,-0.9596115646044806
52,-0.155,-0.15588585678272066,0.08186713042622418,-0.07313868031749463,-8.931601679430692,4.690641054269694,-4.190537701348986,1.274,7.141,56.063,0.972,-5.07,110.808,16.468293592473863,0.646554213219969,1.7202278775638153,7.544419096329171,6.3312800072114985,-0.9705251283758923
53,-0.155,-0.1562792373566086,0.080887406349329,-0.07293152991189496,-8.954140726056904,4.63450699957625,-4.178668857383702,1.263,7.097,56.058,0.901,-5.136,110.808,16.42432908537714,0.6365098213762858,1.7135119565573256,7.476708296523395,6.261993585157354,-0.9861238008895341
54,-0.155,-0.1565797020433055,0.07999590009544688,-0.07261795105641225,-8.971356084497359,4.583427453819286,-4.16070211242,1.252,7.059,56.052,0.835,-5.191,110.814,16.386375856920314,0.6266274736675232,1.7058094196936977,7.420683454800562,6.196276189332381,-0.9947312330341276
55,-0.156,-0.1567569254280846,0.07897879564430155,-0.07242804710280146,-8.981510236476222,4.525151661444688,-4.149821417365253,1.247,7.031,56.047,0.769,-5.229,110.814,16.35842228131307,0.6225037679582338,1.7000659814317811,7.381127200551808,6.131868424188868,-1.0092247397994756
56,-0.159,-0.15705512791021026,0.0779531957518036,-0.07234408065369521,-8.99859598014235,4.466389116135485,-4.145010494210766,1.241,7.015,56.047,0.703,-5.262,110.814,16.342411765663776,0.6165830983189218,1.6990934683975405,7.346587517621479,6.067460269759685,-1.0237147463005876
57,-0.162,-0.15735496704841515,0.07682946546051883,-0.0721558172564436,-9.015775497294328,4.402004113133861,-4.134223796111453,1.236,7.004,56.041,0.632,-5.29,110.814,16.33146926018323,0.6126214387131382,1.6923634129450988,7.316949682848519,5.998172279874061,-1.0392986158330983
58,-0.164,-0.1576439531162791,0.07568893756346418,-0.07200629285734408,-9.032333179321014,4.3366566782156974,-4.125656679108821,1.225,7.004,56.036,0.555,-5.306,110.814,16.331505414315018,0.602577079217948,1.6856474330815987,7.299195089400268,5.9230284692811,-1.0561949576914613
