Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg)
0.673,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.657,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.663,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.683,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.708,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.718,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.703,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.672,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.643,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.657,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.663,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.683,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.708,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.718,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.703,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.672,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.643,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.625,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.623,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.618,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.596,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.563,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.534,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.518,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.5,-0.0048071111740148045,-0.0007560091419502868,-0.005458893657686279,-0.27542718192122656,-0.04331613310705819,-0.3127715673961565
0.625,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.623,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.618,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.596,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.563,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.534,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.518,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.5,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.465,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.425,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.389,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.365,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.342,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.318,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.305,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.298,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.465,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.425,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.389,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.365,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.342,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.318,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.305,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.298,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.302,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.316,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.332,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.335,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.333,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.333,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.338,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.347,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.302,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.316,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.332,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.335,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
0.333,0.008011203720839945,0.005616770541527982,-0.005420517344407854,0.4590081620236302,0.3218172465229633,-0.3105727666120309
